businessName,inspectionId,license,facilityType,risk,inspectionDate,inspectionType,pastFail,timeSinceLast,licenseStartDate,expirationDate,address,city,state,zipCode,ward,precinct,policeDistrict,licenseDescription,location,ageAtInspection,consumptionOnPremises,tobaccoRetail,limitedLicense,packageGoods,outdoorPatio,placeOfAmusement,tavern,retailFoodEstablishment,catersLiquorLicense,fillingStation,addressCount,wardCount,districtCount,foodType,burglary,sanitation,garbage,rodents,pastResponse
55TH GAS STATION INC.,509379,1494344,Grocery Store,Risk 3 (Low),20/10/2011,Canvass,0,2,16/06/2011,15/06/2013,5456 S PULASKI RD,CHICAGO,IL,60632,23,w_23_p_6,8,Retail Food Establishment,"(41.79335091300274, -87.72331142877019)",4.180821918,0,1,1,0,0,0,0,0,0,1,1,1,1,unknown,8.169805073,17.51266104,22.50713432,40.66596326,0
57 RIB HOUSE,1154807,1543160,Restaurant,Risk 1 (High),15/01/2013,Canvass,0,0.893150685,16/09/2011,15/09/2013,9709 S HALSTED ST,CHICAGO,IL,60628,21,w_21_p_27,22,Retail Food Establishment,"(41.717434860214254, -87.64295571791872)",6.169863014,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,29.47931989,37.51816364,27.48360179,14.90874121,1
65 ASIAN KITCHKEN,1114974,1474110,Restaurant,Risk 1 (High),15/08/2013,Canvass,0,1.019178082,16/04/2012,15/04/2014,111 W JACKSON BLVD,CHICAGO,IL,60604,2,w_2_p_49,1,Retail Food Establishment,"(41.87803442833617, -87.63117140697915)",6.254794521,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,9.415041125,17.74527222,0.000261146,18.02705063,0
65 ASIAN KITCHKEN,1114401,1474110,Restaurant,Risk 1 (High),08/08/2012,Canvass,0,1.342465753,16/04/2012,15/04/2014,111 W JACKSON BLVD,CHICAGO,IL,60604,2,w_2_p_49,1,Retail Food Establishment,"(41.87803442833617, -87.63117140697915)",5.235616438,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,33.74603533,12.19956437,2.697769523,83.35642897,0
"67TH ONE STOP FOOD & LIQUOR, INC.",1234383,15187,Grocery Store,Risk 2 (Medium),31/07/2012,Canvass,0,0.167123288,16/07/2011,15/07/2013,1508 E 67TH ST 1ST,CHICAGO,IL,60637,5,w_5_p_5,3,Retail Food Establishment,"(41.77342281569598, -87.58833686934243)",4.961643836,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,33.93767812,14.64766419,4.479450544,12.85863114,1
6 DEGREES,1300296,1592201,Restaurant,Risk 1 (High),02/11/2012,Canvass,0,1.843835616,16/11/2011,15/11/2013,1935 N DAMEN AVE,CHICAGO,IL,60647,32,w_32_p_31,14,Retail Food Establishment,"(41.916909503346645, -87.67744942668926)",4.967009132,1,0,0,0,0,0,0,0,0,0,1,1,1,unknown,62.78061768,18.9285834,10.22918927,34.60627512,0
7-Eleven,1184377,1647046,Grocery Store,Risk 2 (Medium),08/06/2012,Canvass,0,2,16/05/2011,15/05/2013,567 W LAKE ST,CHICAGO,IL,60661,42,w_42_p_21,1,Retail Food Establishment,"(41.88559428960742, -87.64252600441937)",5.068493151,0,1,0,0,0,0,0,0,0,0,5,5,5,mart,21.36810933,4.270775898,10.84708247,0.470113543,0
7-Eleven,586269,1646231,Grocery Store,Risk 2 (Medium),29/12/2011,Canvass,0,2,16/09/2010,15/09/2012,2401 N MILWAUKEE AVE,CHICAGO,IL,60647,35,w_35_p_30,14,Retail Food Establishment,"(41.92489740229432, -87.70036657187526)",4.120547945,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,24.84806804,6.673431475,12.3329653,37.87048498,0
7 ELEVEN,1092530,1248291,Grocery Store,Risk 1 (High),05/08/2013,Canvass,0,2,16/04/2013,15/04/2015,2757 N PINE GROVE AVE,CHICAGO,IL,60614,43,w_43_p_53,19,Retail Food Establishment,"(41.93264872511651, -87.64115056825374)",6.22739726,0,1,0,1,0,0,0,0,0,0,2,2,2,mart,3.40726108,30.26953739,12.70574995,48.41860479,0
7 - ELEVEN,1292369,1170388,Grocery Store,Risk 2 (Medium),06/03/2013,Canvass,0,2,16/04/2012,15/04/2014,343 S DEARBORN ST,CHICAGO,IL,60604,2,w_2_p_49,1,Retail Food Establishment,"(41.877146786216336, -87.62912123316899)",5.811073059,0,1,0,1,0,0,0,0,0,0,5,5,4,mart,17.74790303,26.62445864,0.008572579,35.64109693,0
7 - ELEVEN,604460,1121437,Grocery Store,Risk 2 (Medium),12/10/2011,Canvass,0,1.336986301,16/12/2009,15/12/2011,5316 N MILWAUKEE AVE  M,CHICAGO,IL,60630,45,w_45_p_32,16,Retail Food Establishment,"(41.97693688769671, -87.76907431197014)",4.654680365,0,1,0,1,0,0,0,0,0,0,5,5,4,mart,13.26264801,16.60297299,25.96404772,17.33286716,0
7 - ELEVEN,1188217,1848194,Grocery Store,Risk 2 (Medium),17/05/2012,Canvass,0,1.04109589,16/11/2010,15/11/2012,5789 N MILWAUKEE AVE 1,CHICAGO,IL,60646,45,w_45_p_3,16,Retail Food Establishment,"(41.986905524452354, -87.77782278908025)",4.553424658,0,1,0,1,0,0,0,0,0,0,5,5,4,mart,8.971034902,15.63915219,21.51599205,0.04668418,1
7-ELEVEN,1234704,1516266,Grocery Store,Risk 2 (Medium),17/08/2012,Canvass,0,1.575342466,16/04/2011,15/04/2013,2323 W LAWRENCE AVE,CHICAGO,IL,60625,47,w_47_p_20,19,Retail Food Establishment,"(41.96852656709918, -87.68739289703984)",5.260273973,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,32.1987431,20.24055813,27.94182965,44.10786091,0
7-ELEVEN,1184422,1816833,Restaurant,Risk 1 (High),27/06/2012,Canvass,0,0.534246575,16/05/2012,15/05/2014,833 W VAN BUREN ST 1,CHICAGO,IL,60607,2,w_2_p_6,12,Retail Food Establishment,"(41.876543846685756, -87.64847222242669)",5.02739726,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,20.46424273,13.01498263,0.224345959,0.794229391,0
7-ELEVEN,1188214,1766607,Grocery Store,Risk 2 (Medium),26/04/2012,Canvass,0,1.189041096,16/02/2011,15/02/2013,6001 N WESTERN AVE 1,CHICAGO,IL,60659,40,w_40_p_8,24,Retail Food Establishment,"(41.990591264484515, -87.68952828959665)",5.194406393,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,31.74535546,34.08681044,15.38322794,44.71731036,0
7-ELEVEN,1324421,1816833,Restaurant,Risk 1 (High),24/04/2013,Canvass,0,0.824657534,16/05/2012,15/05/2014,833 W VAN BUREN ST 1,CHICAGO,IL,60607,2,w_2_p_6,12,Retail Food Establishment,"(41.876543846685756, -87.64847222242669)",5.852054795,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,8.050914985,13.93485041,0.061109524,0.076541149,0
7-ELEVEN,1324342,1915777,Grocery Store,Risk 1 (High),06/03/2013,Canvass,0,0.97260274,16/05/2012,15/05/2014,1524 W TAYLOR ST,CHICAGO,IL,60607,2,w_2_p_29,12,Retail Food Establishment,"(41.86939363940578, -87.66515238810635)",4.463127854,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,0.861194714,8.862048584,36.77701065,58.80407334,0
7-ELEVEN,604488,1841004,Grocery Store,Risk 2 (Medium),01/11/2011,Canvass,0,1.454794521,16/09/2011,15/09/2013,5320 N CUMBERLAND AVE,CHICAGO,IL,60656,41,w_41_p_48,16,Retail Food Establishment,"(41.97626545131273, -87.83676599105188)",4.175342466,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,9.045562822,5.357920021,16.98560033,1.612436675,0
7-ELEVEN,577734,1356820,Grocery Store,Risk 2 (Medium),08/12/2011,Canvass,0,2,16/10/2011,15/10/2013,4500 W 63RD ST,CHICAGO,IL,60629,13,w_13_p_34,8,Retail Food Establishment,"(41.77862499314056, -87.73502936410594)",4.063013699,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,15.04795024,12.70149225,9.174927204,18.53995294,0
7-ELEVEN,1234633,12043,Grocery Store,Risk 2 (Medium),14/08/2012,Canvass,0,0.8,16/02/2012,15/02/2014,2759 N HARLEM AVE,CHICAGO,IL,60707,36,w_36_p_15,25,Retail Food Establishment,"(41.9307444173081, -87.80634529093028)",5.495776256,0,1,1,1,0,0,0,0,0,0,5,5,5,mart,4.45778845,6.64635592,19.89202665,13.61395153,0
7-ELEVEN,634889,1275723,Grocery Store,Risk 2 (Medium),07/10/2011,Canvass,0,2,16/11/2010,15/11/2012,1400 N MILWAUKEE AVE,CHICAGO,IL,60622,1,w_1_p_10,14,Retail Food Establishment,"(41.90725859639066, -87.67281319045203)",3.89303653,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,60.89479419,43.53269744,7.822052979,58.74852912,0
7-ELEVEN,509383,1271535,Grocery Store,Risk 2 (Medium),24/10/2011,Canvass,0,1.221917808,16/06/2011,15/06/2013,4353 W 55TH ST,CHICAGO,IL,60632,13,w_13_p_24,8,Retail Food Establishment,"(41.793008028419656, -87.73264551503843)",4.191780822,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,27.58676503,11.2679154,26.52547359,34.43725455,0
7-ELEVEN,1324246,33039,Grocery Store,Risk 2 (Medium),31/12/2012,Canvass,0,1.150684932,16/09/2012,15/09/2014,200 N DEARBORN ST  1,CHICAGO,IL,60601,42,w_42_p_9,1,Retail Food Establishment,"(41.88579631234916, -87.6296461541294)",5.128767123,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,30.12101894,21.31195268,0.02581218,14.06054491,0
7-ELEVEN,1098523,1648748,Grocery Store,Risk 2 (Medium),16/08/2012,Canvass,0,1.915068493,16/12/2010,15/12/2012,3801 N WESTERN AVE,CHICAGO,IL,60618,47,w_47_p_51,19,Retail Food Establishment,"(41.95042712587546, -87.6882158437937)",5.501255708,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,43.28976133,8.327194241,25.27191856,26.93144749,0
7-ELEVEN,1196266,71784,Grocery Store,Risk 2 (Medium),24/04/2012,Canvass,0,2,16/07/2011,15/07/2013,1750 W FOSTER AVE,CHICAGO,IL,60640,40,w_40_p_43,20,Retail Food Establishment,"(41.9762169249346, -87.67413820381894)",4.693150685,0,1,0,1,0,0,0,0,0,0,5,5,5,mart,21.52136532,12.97714157,5.308420472,8.470274021,0
7-ELEVEN #18473,1301153,26047,Grocery Store,Risk 2 (Medium),07/01/2013,Canvass,0,1.147945205,16/10/2012,15/10/2014,1404 W PRATT BLVD 1ST,CHICAGO,IL,60626,49,w_49_p_23,24,Retail Food Establishment,"(42.005560716387, -87.66607079581269)",5.147945205,0,1,0,0,0,0,0,0,0,0,1,1,1,mart,13.81748241,29.62490412,0.240383259,27.04561144,0
7 ELEVEN #26210J,664221,2041899,Grocery Store,Risk 2 (Medium),04/11/2011,Canvass,0,0.997260274,16/11/2010,15/09/2012,2200 W DEVON AVE 1ST,CHICAGO,IL,60659,50,w_50_p_22,24,Retail Food Establishment,"(41.99792158092283, -87.68507479988922)",0.967009132,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,25.68206504,23.56290551,22.67163876,21.17484657,0
7-ELEVEN #33508C,1092553,2064170,Grocery Store,Risk 2 (Medium),16/08/2013,Canvass,0,0.657534247,16/12/2012,15/12/2014,2181 N CLYBOURN AVE 1,CHICAGO,IL,60614,32,w_32_p_37,18,Retail Food Establishment,"(41.921178383612904, -87.66357938528952)",2.690296804,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,20.19541641,19.83191448,24.00031036,48.82592472,0
7-ELEVEN #33508C,1300961,2064170,Grocery Store,Risk 2 (Medium),18/12/2012,Canvass,0,2,16/12/2012,15/12/2014,2181 N CLYBOURN AVE 1,CHICAGO,IL,60614,32,w_32_p_37,18,Retail Food Establishment,"(41.921178383612904, -87.66357938528952)",2.030136986,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,30.69151631,26.3682393,7.363296731,41.24790514,0
7-ELEVEN #33511C,1292358,1963529,Grocery Store,Risk 2 (Medium),28/02/2013,Canvass,0,1.542465753,16/04/2012,15/04/2014,33 E ADAMS ST 1ST,CHICAGO,IL,60603,42,w_42_p_9,1,Retail Food Establishment,"(41.87940125364803, -87.62648709958653)",3.876826484,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,26.77653227,13.33747158,0.018807009,26.78440821,0
7-ELEVEN #33779B,670858,1948248,Grocery Store,Risk 2 (Medium),27/02/2012,Canvass,0,1.473972603,16/12/2010,15/12/2012,2900 W MONTROSE AVE 1ST,CHICAGO,IL,60618,33,w_33_p_24,17,Retail Food Establishment,"(41.961343153284, -87.70097298218666)",2.972716895,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,18.10800149,12.71225304,22.43026429,18.7688358,0
7-ELEVEN #33809B,670877,2021580,Grocery Store,Risk 1 (High),28/02/2012,Canvass,0,0.75890411,16/10/2010,15/10/2012,6801 N SHERIDAN RD 1ST,CHICAGO,IL,60626,49,w_49_p_29,24,Retail Food Establishment,"(42.00561787658474, -87.66078593720823)",1.874086758,0,1,0,0,0,0,0,0,0,0,1,1,1,mart,13.13559907,36.88293761,10.7886447,34.84810269,1
7 ELEVEN #33843,1327030,1947576,Grocery Store,Risk 2 (Medium),18/04/2013,Canvass,0,0.323287671,16/06/2012,15/06/2014,4116 N CLARK ST 1ST,CHICAGO,IL,60613,47,w_47_p_24,19,Retail Food Establishment,"(41.95699850100133, -87.66403716394323)",4.109589041,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,4.022532915,4.686455911,9.315537099,17.24736928,0
7 ELEVEN #34133A,1235284,2069705,Grocery Store,Risk 2 (Medium),24/07/2012,Canvass,0,1.336986301,25/03/2011,15/04/2013,1138 W WILSON AVE,CHICAGO,IL,60640,46,w_46_p_32,19,Retail Food Establishment,"(41.96548980104739, -87.65907220826392)",1.334246575,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,24.60532998,27.64737178,0.661330504,44.99533539,1
7 ELEVEN #34724H,1292227,2065000,Grocery Store,Risk 2 (Medium),05/10/2012,Canvass,0,0,16/09/2012,15/09/2014,128 N LA SALLE ST 1ST,CHICAGO,IL,60602,42,w_42_p_9,1,Retail Food Establishment,"(41.883970468541214, -87.63257344018365)",1.791666667,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,10.05078245,17.28786181,0.589221371,11.05070753,0
7 ELEVEN #35632H,1322554,2134445,Grocery Store,Risk 2 (Medium),14/06/2013,Canvass,0,1.019178082,16/09/2012,15/09/2014,2819-2821 N ASHLAND AVE 1ST,CHICAGO,IL,60657,32,w_32_p_10,19,Retail Food Establishment,"(41.93301666690289, -87.66827260419502)",1,0,1,0,1,0,0,0,0,0,0,1,1,1,mart,9.174579339,19.96456609,33.95119216,67.19990183,0
ABACUS 1,679707,2079198,Restaurant,Risk 1 (High),08/03/2012,Canvass,0,1.073972603,16/02/2011,15/03/2013,1550 W FULLERTON AVE 1 1,CHICAGO,IL,60614,32,w_32_p_13,19,Retail Food Establishment,"(41.92526597195811, -87.66779312170318)",1.057534247,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,26.28441328,10.07283483,2.784020309,70.51795618,1
ABRAM GALE,1286257,2017114,Restaurant,Risk 1 (High),11/02/2013,Canvass,0,0.284931507,16/02/2012,15/02/2014,2366-2370 N NEVA AVE,CHICAGO,IL,60707,36,w_36_p_2,25,Retail Food Establishment,"(41.923010423191435, -87.80453642340093)",2.45216895,1,0,0,0,0,0,0,0,0,0,1,1,1,unknown,8.331274959,4.79028838,7.733983284,7.229353292,0
ABYSSINIA RESTAURANT & FOOD MARKET,1234771,1273705,Restaurant,Risk 1 (High),21/08/2012,Canvass,0,1.484931507,16/08/2011,15/08/2013,5842 N BROADWAY,CHICAGO,IL,60660,48,w_48_p_48,20,Retail Food Establishment,"(41.98827210388373, -87.66035869613218)",5.019178082,1,0,1,0,0,0,0,0,0,0,1,1,1,grocery,31.82878109,15.34882235,10.35715991,36.26787471,0
ADA FOODS,1227777,50473,Grocery Store,Risk 3 (Low),01/03/2013,Canvass,0,1.591780822,16/06/2011,15/06/2013,1281 W 71ST ST 1ST,CHICAGO,IL,60636,17,w_17_p_20,7,Retail Food Establishment,"(41.76489418140258, -87.657307804757)",5.545319635,0,1,1,0,0,0,0,0,0,0,1,1,1,mart,32.30272582,53.64828836,35.63709252,14.80146451,0
ADDISON & LARAMIE SHELL,1353868,1696761,Grocery Store,Risk 3 (Low),25/07/2013,Canvass,0,2,16/08/2011,15/08/2013,5201 W ADDISON ST,CHICAGO,IL,60641,38,w_38_p_37,16,Retail Food Establishment,"(41.94588917553282, -87.75704112300077)",5.945205479,0,1,0,0,0,0,0,0,0,1,1,1,1,mart,7.975908594,9.729734779,29.82332908,18.59930747,0
ADDISON OIL CO,1353838,64133,Grocery Store,Risk 3 (Low),24/07/2013,Canvass,0,2,16/08/2011,15/08/2013,5200 W ADDISON ST,CHICAGO,IL,60641,38,w_38_p_30,16,Retail Food Establishment,"(41.94610866384368, -87.75704702770967)",5.942465753,0,1,0,0,0,0,0,0,0,1,1,1,1,unknown,8.217892927,9.207043178,29.09707745,19.39373194,0
A & D FOOD MARKET INC,547710,1144262,Grocery Store,Risk 2 (Medium),27/09/2011,Canvass,0,2,16/08/2010,15/08/2012,1456 S PULASKI RD 1ST,CHICAGO,IL,60623,24,w_24_p_36,10,Retail Food Establishment,"(41.86084100268044, -87.7251616093027)",4.117808219,0,1,1,0,0,0,0,0,0,0,1,1,1,grocery,29.63166021,20.41017947,67.59971891,16.38173803,0
ADOBO GRILL,1198714,80108,Restaurant,Risk 1 (High),26/02/2013,Canvass,0,0.693150685,16/04/2011,15/04/2013,1610 N WELLS ST 1ST,CHICAGO,IL,60614,43,w_43_p_4,18,Retail Food Establishment,"(41.911494367763304, -87.63486809549644)",5.789155251,1,0,0,0,0,0,0,0,0,0,1,1,1,dinner,27.43919919,28.5835086,15.60451957,41.30967668,1
ADRIATIC,670508,2013391,Restaurant,Risk 1 (High),15/02/2012,Canvass,0,1.75890411,16/07/2011,15/06/2012,5553-5557 N CLARK ST 1,CHICAGO,IL,60640,48,w_48_p_7,20,Retail Food Establishment,"(41.98327949189041, -87.66856310731372)",1.750799087,1,0,0,0,1,0,0,0,0,0,1,1,1,unknown,17.22808032,3.679371354,8.368589612,1.415981544,1
ADRIATIC,1235931,2013391,Restaurant,Risk 1 (High),20/08/2013,Canvass,0,1.265753425,16/06/2012,15/06/2014,5553-5557 N CLARK ST 1,CHICAGO,IL,60640,48,w_48_p_7,20,Retail Food Establishment,"(41.98327949189041, -87.66856310731372)",3.263013699,1,0,0,0,1,0,0,0,0,0,1,1,1,unknown,20.26861744,10.68444564,25.51231199,32.33160346,1
AFC SUSHI @ DOMINICKS 1100,1151447,1959463,Restaurant,Risk 1 (High),18/07/2013,Canvass,0,1.15890411,16/02/2013,15/02/2015,3145 S ASHLAND AVE,CHICAGO,IL,60608,11,w_11_p_26,9,Retail Food Establishment,"(41.836468347729024, -87.66556690213167)",4.339726027,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,19.85452872,0.723737742,13.40909193,35.31318786,0
AFC  SUSHI @DOMINICKS#2775,1234908,1868244,Grocery Store,Risk 1 (High),27/08/2012,Canvass,0,1.216438356,16/02/2011,15/02/2013,2021 W CHICAGO AVE,CHICAGO,IL,60622,1,w_1_p_11,12,Retail Food Establishment,"(41.89578522959797, -87.67793089259229)",4.830136986,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,50.71181481,50.62349104,15.33673101,31.08763309,0
AFC SUSHI@DOMINICK'S #2890,1196230,2065024,Restaurant,Risk 1 (High),28/03/2012,Canvass,0,1.383561644,16/02/2011,15/02/2013,5201 N SHERIDAN RD,CHICAGO,IL,60640,48,w_48_p_14,20,Retail Food Establishment,"(41.976481667612425, -87.65483977716684)",1.243721461,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,32.41316691,42.19024142,7.719485494,29.01227055,0
AFC SUSHI@DOMINICK'S #2984,1300718,1985617,Restaurant,Risk 1 (High),30/11/2012,Canvass,0,1.230136986,16/02/2011,15/02/2013,6623 N DAMEN AVE,CHICAGO,IL,60645,50,w_50_p_28,24,Retail Food Establishment,"(42.002223375062094, -87.68012882798133)",3.304223744,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,3.451240612,8.656136247,22.13922007,20.12736863,1
AFC Sushi @ Jewel-Osco #3210,1134671,1517561,Grocery Store,Risk 1 (High),25/10/2012,Canvass,0,1.331506849,16/02/2011,15/02/2013,1210 N CLARK ST,CHICAGO,IL,60610,42,w_42_p_26,18,Retail Food Establishment,"(41.90426522825603, -87.63160329458951)",5.69303653,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,35.76332623,34.71290844,13.48287616,78.88505563,0
