businessName,inspectionId,license,facilityType,risk,inspectionDate,inspectionType,pastFail,timeSinceLast,licenseStartDate,expirationDate,address,city,state,zipCode,ward,precinct,policeDistrict,licenseDescription,location,ageAtInspection,consumptionOnPremises,tobaccoRetail,limitedLicense,packageGoods,outdoorPatio,placeOfAmusement,tavern,retailFoodEstablishment,catersLiquorLicense,fillingStation,addressCount,wardCount,districtCount,foodType,burglary,sanitation,garbage,rodents,pastResponse,response
YEMEN RESTAURANT,604537,1170552,Restaurant,Risk 1 (High),06/12/2011,Canvass,0,0.630136986,16/12/2009,15/12/2011,4750 N KENNETH AVE,CHICAGO,IL,60630,45,w_45_p_10,17,Retail Food Establishment,"(41.96772183453367, -87.74018412043799)",4.805479452,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,21.37933418,7.366252451,16.93505259,10.34792268,0,0
SUBWAY,1151376,1517669,Restaurant,Risk 1 (High),17/06/2013,Canvass,0,0.380821918,16/11/2011,15/11/2013,8614 S KEDZIE AVE,CHICAGO,IL,60652,18,w_18_p_10,8,Retail Food Establishment,"(41.736468528139476, -87.70219284070593)",5.588926941,0,0,0,0,0,0,0,0,0,0,5,5,5,sandwich,14.55558813,7.607006881,2.620815352,3.668617931,0,0
CITGO FUEL & MINI-MART,1326206,1476556,Grocery Store,Risk 3 (Low),08/03/2013,Canvass,0,2,16/08/2012,15/08/2014,1900 S PULASKI RD,CHICAGO,IL,60623,24,w_24_p_45,10,Retail Food Establishment,"(41.85498313235789, -87.72499648315791)",5.564497717,0,1,0,0,0,0,0,0,0,1,2,2,2,mart,25.99659707,13.52960766,58.42214411,24.02128372,1,0
WEST SIDE GYROS & PITA KABOB,1146491,2188927,Restaurant,Risk 1 (High),15/08/2013,Canvass,0,0.4,25/09/2012,15/10/2014,754 S WESTERN AVE GROUND,CHICAGO,IL,60612,2,w_2_p_,NA,Retail Food Establishment,"(41.871363410032444, -87.68631728625324)",0.887671233,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,29.69548006,61.08776868,32.10611955,20.26760795,0,1
AFC SUSHI @ JEWEL OSCO #3441,1322355,1516125,Grocery Store,Risk 1 (High),07/02/2013,Canvass,0,0.175342466,16/02/2011,15/02/2013,2940 N ASHLAND AVE,CHICAGO,IL,60657,32,w_32_p_30,19,Retail Food Establishment,"(41.93547203273165, -87.66865454314257)",5.980821918,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,21.90852896,38.78234112,21.29663848,122.1860676,0,0
WALGREENS # 047807,577753,1243984,Grocery Store,Risk 3 (Low),16/12/2011,Canvass,0,2,16/05/2010,15/05/2012,3920 W 79TH ST,CHICAGO,IL,60652,18,w_18_p_62,8,Retail Food Establishment,"(41.749690235776804, -87.72123626641549)",4.589155251,0,1,1,0,0,0,0,0,0,0,1,1,1,mart,5.429991199,5.376328113,16.81551864,12.87776598,0,0
THE PURPLE OTTER,517626,12378,Restaurant,Risk 1 (High),21/11/2011,Canvass,0,1.4,16/04/2011,15/04/2013,2706 N ASHLAND AVE,CHICAGO,IL,60614,32,w_32_p_27,19,Retail Food Establishment,"(41.93090315674629, -87.6684944832103)",4.5206621,0,0,0,0,0,0,1,0,0,0,1,1,1,unknown,25.83586919,44.56327916,20.50501686,44.30069573,0,1
GELATINAS CRIS,1227449,2129494,Restaurant,Risk 1 (High),17/07/2012,Canvass,0,0.61369863,07/12/2011,15/12/2013,6532 S PULASKI RD,CHICAGO,IL,60629,13,w_13_p_50,8,Retail Food Establishment,"(41.77400131892014, -87.7227884585868)",0.610844749,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,13.41816603,13.45429596,25.29114685,43.49702598,0,0
D'S BEEF & FRIED RICE,547774,18299,Restaurant,Risk 1 (High),26/10/2011,Canvass,0,0.939726027,16/05/2011,15/05/2013,5451 W MADISON ST,CHICAGO,IL,60644,29,w_29_p_16,15,Retail Food Establishment,"(41.8801754595254, -87.76196223963693)",4.449315068,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,55.50115781,21.84184571,37.51256797,23.90075292,0,1
SUPERMERCADO CARDENAS,1098538,1596877,Grocery Store,Risk 1 (High),22/08/2012,Canvass,0,1.383561644,16/12/2010,15/12/2012,3440 W MONTROSE AVE,CHICAGO,IL,60618,33,w_33_p_31,17,Retail Food Establishment,"(41.961217616021884, -87.71482086236585)",5.517694064,0,1,1,0,0,0,0,0,0,0,1,1,1,grocery,34.68640524,56.58772832,12.12624354,24.02416924,1,1
"R.  MCCARTY ENTERPRISES, INC.",1150434,25275,Restaurant,Risk 1 (High),05/06/2012,Canvass,0,0.550684932,16/07/2011,15/07/2013,1312 W 111TH ST,CHICAGO,IL,60643,34,w_34_p_45,22,Retail Food Establishment,"(41.69231345176162, -87.65511685782528)",4.808219178,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,19.9549716,19.59952459,15.59898203,3.992608022,1,0
APOLLO'S 2000,1279378,12125,Restaurant,Risk 1 (High),30/01/2013,Canvass,0,1.569863014,16/08/2012,15/08/2014,2875 W CERMAK RD  1,CHICAGO,IL,60623,12,w_12_p_7,10,Retail Food Establishment,"(41.85174848380867, -87.69858330280414)",5.463127854,1,1,0,0,0,1,0,0,0,0,1,1,1,unknown,32.85888847,21.14998387,41.65783559,8.970666598,0,0
CENACLE RETIREMENT,1198659,1276889,Restaurant,Risk 1 (High),15/01/2013,Canvass,0,0.854794521,16/04/2011,15/04/2013,513 W FULLERTON PKWY 1ST,CHICAGO,IL,60614,43,w_43_p_20,18,Retail Food Establishment,"(41.925452433319336, -87.6419562075969)",5.674086758,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,65.55687828,38.56873589,10.27695116,101.4541913,1,0
MELT,1230083,2114948,Other,Risk 2 (Medium),13/07/2012,Canvass,0,0.769863014,11/10/2011,15/10/2013,1840 N DAMEN AVE 1ST,CHICAGO,IL,60647,32,w_32_p_4,14,Retail Food Establishment,"(41.91500000589264, -87.67770692827398)",0.756164384,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,30.35400372,31.46623392,8.823010725,41.95968904,1,1
WEST LAWN FOODS,1360309,1591726,Grocery Store,Risk 1 (High),16/08/2013,Canvass,0,1.246575342,16/10/2011,15/10/2013,5838 S PULASKI RD,CHICAGO,IL,60629,13,w_13_p_21,8,Retail Food Establishment,"(41.786608409502335, -87.72313002889523)",5.753310502,0,0,0,0,0,0,0,0,0,0,1,1,1,mart,35.7077526,15.13088083,36.35329512,31.2635971,0,0
THREE ACES RESTAURANT,565520,2037188,Restaurant,Risk 1 (High),22/09/2011,Canvass,0,0.980821918,01/10/2010,15/10/2012,1321-1323 W TAYLOR ST,CHICAGO,IL,60607,2,w_2_p_25,12,Retail Food Establishment,"(41.86925517406011, -87.6600617423072)",0.975342466,1,0,0,0,1,0,0,0,0,0,1,1,1,dinner,47.53550548,20.77290053,1.796492351,12.17365043,1,0
THE BAGEL INC,1198476,29989,Restaurant,Risk 1 (High),04/10/2012,Canvass,0,2,16/02/2011,15/02/2013,3107 N BROADWAY  # 1ST,CHICAGO,IL,60657,44,w_44_p_17,19,Retail Food Establishment,"(41.93799979314034, -87.64418473186258)",5.635502283,0,0,0,0,0,0,0,0,0,0,1,1,1,breakfast,68.37967428,37.5139675,13.09584257,70.88751654,1,1
LA BOULANGERIE,1322489,2189372,Restaurant,Risk 2 (Medium),09/05/2013,Canvass,0,0.602739726,05/10/2012,15/10/2014,915 W BELMONT AVE 1ST C,CHICAGO,IL,60657,44,w_44_p_20,19,Retail Food Establishment,"(41.93983039675337, -87.65217131472627)",0.591780822,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,22.42897024,44.47172608,7.470493802,85.65954381,0,1
YELLOW ROSE CAFE INC,1301159,50484,Restaurant,Risk 1 (High),07/01/2013,Canvass,0,0.493150685,16/11/2012,15/11/2014,5640 N ELSTON AVE,CHICAGO,IL,60646,45,w_45_p_30,16,Retail Food Establishment,"(41.98376846724376, -87.7661756872335)",5.147945205,0,0,0,0,0,0,0,0,0,0,1,1,1,breakfast,11.34738374,4.403277593,38.25093473,0.115995234,0,1
THE ART OF PIZZA INC,1184478,20873,Restaurant,Risk 1 (High),26/07/2012,Canvass,0,1.41369863,16/02/2011,15/02/2013,3033 N ASHLAND AVE,CHICAGO,IL,60657,32,w_32_p_10,19,Retail Food Establishment,"(41.9370063630277, -87.6684186143436)",5.443721461,0,0,0,0,0,0,0,0,0,0,1,1,1,italian,43.42698949,33.77906731,20.17475485,43.54593433,1,0
BOBAK SAUSAGE COMPANY,1214377,23290,Grocery Store,Risk 1 (High),25/04/2012,Canvass,0,1.057534247,16/06/2011,15/06/2013,5275 S ARCHER AVE,CHICAGO,IL,60632,23,w_23_p_41,8,Retail Food Establishment,"(41.79928776070369, -87.73837902368739)",4.695890411,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,32.41597825,0.834263807,11.65156347,10.96555381,0,1
SABOR A CUBA,614702,1145080,Restaurant,Risk 1 (High),18/01/2012,Canvass,0,2,16/07/2011,15/07/2013,1833 W WILSON AVE,CHICAGO,IL,60640,47,w_47_p_36,19,Retail Food Establishment,"(41.96503039287329, -87.67603135050489)",4.427511416,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,5.515033676,25.02646891,15.99033057,29.53022674,0,0
DELISH DINER,1214491,2042823,Restaurant,Risk 1 (High),13/03/2012,Canvass,0,0.816438356,01/06/2011,15/06/2013,2018 W DIVISION ST 1ST,CHICAGO,IL,60622,1,w_1_p_17,14,Retail Food Establishment,"(41.903286312962365, -87.67806566923049)",0.783561644,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,45.11933483,42.24818886,6.505311126,46.63964855,0,0
S&S DELI,1098325,2021011,Grocery Store,Risk 2 (Medium),16/05/2012,Canvass,0,2,16/12/2010,15/12/2012,3290 N ELSTON AVE 1,CHICAGO,IL,60618,33,w_33_p_2,17,Retail Food Establishment,"(41.941157263597, -87.70110537875657)",2.164383562,0,1,0,0,0,0,0,0,0,0,1,1,1,grocery,15.32668758,15.25060727,5.404877009,20.62819166,0,1
PANDA EXPRESS #1878,1321482,2059545,Restaurant,Risk 1 (High),22/01/2013,Canvass,0,0.501369863,16/03/2012,15/03/2014,520 N MICHIGAN AVE  427,CHICAGO,IL,60611,42,w_42_p_48,18,Retail Food Establishment,"(41.89168851736832, -87.62430717812579)",2.197260274,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,26.9682578,15.47343819,9.01E-05,13.06876917,0,0
VILLA ROSA PIZZA ON ARCHER,1305250,2136944,Restaurant,Risk 1 (High),05/04/2013,Canvass,0,1.205479452,24/01/2012,15/02/2014,5786 S ARCHER AVE 1ST,CHICAGO,IL,60638,23,w_23_p_48,8,Retail Food Establishment,"(41.7965179465511, -87.75791779651013)",1.197146119,0,0,0,0,0,0,0,0,0,0,1,1,1,italian,10.48674634,2.677020618,7.099445808,1.168104433,0,0
SANDY'S BAKERY & DELI INC,1335920,1442912,Other,Risk 1 (High),05/06/2013,Canvass,0,0.495890411,16/12/2011,15/12/2013,5857 W LAWRENCE AVE,CHICAGO,IL,60630,45,w_45_p_45,16,Retail Food Establishment,"(41.967578162072144, -87.77472139648694)",6.303995434,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,26.71530374,5.258471349,15.59988469,6.090313453,0,1
EMPEROR WOK,1322357,1874409,Restaurant,Risk 1 (High),07/02/2013,Canvass,0,0.923287671,16/04/2011,15/04/2013,2910 N ASHLAND AVE 1,CHICAGO,IL,60657,32,w_32_p_30,19,Retail Food Establishment,"(41.93456195335931, -87.66862107234444)",5.15890411,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,22.60226393,35.84079576,21.4342995,107.6465447,1,0
Cubs Bar & Grill,1300216,1621425,Restaurant,Risk 1 (High),30/10/2012,Canvass,0,0.630136986,16/01/2012,15/01/2014,11601 W TOUHY AVE T-3 RND B,CHICAGO,IL,60666,41,w_41_p_27,16,Retail Food Establishment,"(42.008536400868735, -87.91442843927047)",5.70673516,1,0,0,0,0,0,0,0,0,0,1,1,1,bar,1.06E-41,1.61E-199,1.60E-238,1.55E-226,0,1
ROSATI'S PIZZA,604466,82604,Restaurant,Risk 1 (High),13/10/2011,Canvass,0,0.750684932,16/03/2010,15/03/2012,5544 N MILWAUKEE AVE 1ST,CHICAGO,IL,60630,45,w_45_p_11,16,Retail Food Establishment,"(41.98258310472735, -87.77422708745797)",4.657420091,0,0,0,0,0,0,0,0,0,0,1,1,1,italian,8.491988819,22.45809966,22.06851131,0.519365358,0,0
SUBWAY,679456,1543051,Restaurant,Risk 1 (High),09/03/2012,Canvass,0,0.273972603,16/05/2010,15/05/2012,1501 W MADISON ST,CHICAGO,IL,60607,2,w_2_p_60,12,Retail Food Establishment,"(41.88137665387491, -87.66449648697821)",4.819292237,0,0,0,0,0,0,0,0,0,0,5,5,5,sandwich,4.299949616,9.077161531,0.998387243,3.552669806,0,0
MASALA,1196322,2068813,Restaurant,Risk 1 (High),16/05/2012,Canvass,0,0.394520548,01/12/2010,15/12/2012,1002 W ARGYLE ST 1ST,CHICAGO,IL,60640,46,w_46_p_40,20,Retail Food Establishment,"(41.97342006256912, -87.65508564145216)",1.457420091,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,32.04060086,34.0597141,0.205590735,29.66278593,1,0
PEPE'S MEXICAN RESTAURANT,1322144,12141,Restaurant,Risk 1 (High),06/03/2013,Canvass,0,0.731506849,16/01/2012,15/01/2014,4820 S CICERO AVE,CHICAGO,IL,60638,23,w_23_p_51,8,Retail Food Establishment,"(41.805139326234766, -87.7432424761978)",6.054794521,1,0,0,0,0,0,0,0,0,0,5,4,3,dinner,22.5990204,5.069198599,10.06975667,103.042836,0,0
CRUST EAT REAL,608318,87098,Restaurant,Risk 1 (High),08/12/2011,Canvass,0,0.997260274,16/11/2010,15/11/2012,2056-2058 W DIVISION ST 1ST,CHICAGO,IL,60622,1,w_1_p_17,14,Retail Food Establishment,"(41.90325968399115, -87.67950513087908)",4.063013699,1,0,0,0,1,0,0,0,0,0,1,1,1,unknown,58.54382981,21.60940288,13.11263768,21.17367601,0,0
BILLY GOAT TAVERN,1345215,20151,Restaurant,Risk 1 (High),18/04/2013,Canvass,0,0.389041096,16/09/2012,15/09/2014,330 S WELLS ST,CHICAGO,IL,60606,2,w_2_p_49,1,Retail Food Establishment,"(41.87736776237396, -87.63385356749127)",5.424543379,1,0,0,0,0,0,0,0,0,0,1,1,1,bar,14.92949692,32.88919788,5.446399784,9.944798682,0,0
FATHER & SON PIZZERIA LTD,1285781,23515,Restaurant,Risk 1 (High),10/10/2012,Canvass,0,0.994520548,16/11/2011,15/11/2013,2475 N MILWAUKEE AVE,CHICAGO,IL,60647,35,w_35_p_30,14,Retail Food Establishment,"(41.926342437653226, -87.70272439370295)",4.903995434,1,0,0,0,0,0,0,0,0,0,1,1,1,italian,44.00873932,20.70735227,18.14985657,110.8566639,1,0
"JIMENEZ  RESTAURANT, INC.",679844,1573479,Restaurant,Risk 1 (High),12/04/2012,Canvass,0,0.78630137,16/01/2011,15/01/2013,5716 W DIVERSEY AVE,CHICAGO,IL,60639,30,w_30_p_28,25,Retail Food Establishment,"(41.931342018106, -87.76946867561927)",5.156050228,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,14.35832488,11.39777322,38.13334126,15.97579595,1,0
ARAMARK NUVEEN INVESTMENTS CAFE,1345337,1904569,Restaurant,Risk 1 (High),20/06/2013,Canvass,0,1.884931507,16/03/2013,15/03/2015,333 W WACKER DR 36TH,CHICAGO,IL,60606,42,w_42_p_9,1,Retail Food Establishment,"(41.886025412541144, -87.63629770323044)",5.008219178,0,0,0,0,0,0,0,0,0,0,1,1,1,cater,52.21596632,14.37322092,1.116574396,8.270530103,1,0
HAROLD'S CHICKEN SHACK,1072503,7573,Restaurant,Risk 2 (Medium),20/08/2013,Canvass,0,2,16/03/2012,15/03/2014,9151 S ASHLAND AVE 1ST,CHICAGO,IL,60620,21,w_21_p_14,22,Retail Food Establishment,"(41.72698502771183, -87.6626670147014)",6.268493151,0,0,0,0,0,0,0,0,0,0,5,5,4,dinner,15.01089858,30.99637671,28.774094,21.96083456,1,1
UPTOWN PIZZA & BQ,1235724,3866,Restaurant,Risk 1 (High),08/04/2013,Canvass,0,1.136986301,16/07/2011,15/07/2013,1031 W WILSON AVE 1ST,CHICAGO,IL,60640,46,w_46_p_38,19,Retail Food Establishment,"(41.96530660268448, -87.65611796936844)",5.649315068,0,0,0,0,0,0,0,0,0,0,1,1,1,italian,15.53243684,19.45347951,11.27255775,61.99744469,0,0
RAY HARRINGTON CATERING COMPANY,1321630,1914850,Restaurant,Risk 1 (High),30/01/2013,Canvass,0,0.726027397,16/10/2011,15/10/2013,5685 N MILWAUKEE AVE 1ST,CHICAGO,IL,60646,45,w_45_p_9,16,Retail Food Establishment,"(41.985048352622336, -87.77612157068242)",4.375456621,0,0,0,0,0,0,0,0,0,0,1,1,1,cater,10.05005913,21.79707266,31.36043742,0.060143212,0,0
NORTHSHORE INDUSTRIAL VENDING,1184492,22135,Restaurant,Risk 1 (High),02/08/2012,Canvass,0,0.750684932,16/05/2011,15/05/2013,565 W ADAMS ST,CHICAGO,IL,60661,2,w_2_p_12,1,Retail Food Establishment,"(41.87916454484426, -87.64223908958391)",5.219178082,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,21.719341,2.71845359,0.079511646,54.31741182,1,1
"INKAS RESTAURANT, CORPORATION",1166344,2202600,Restaurant,Risk 1 (High),28/06/2013,Canvass,0,0.545205479,20/12/2012,15/12/2014,2917 N CICERO AVE,CHICAGO,IL,60641,31,w_31_p_6,25,Retail Food Establishment,"(41.93387296117733, -87.74653841434737)",0.52043379,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,10.81834231,23.46065191,25.35642182,29.69433261,0,0
Slim's,1098516,2064928,Restaurant,Risk 2 (Medium),15/08/2012,Canvass,0,1.704109589,03/12/2010,15/12/2012,2020 W MONTROSE AVE 1,CHICAGO,IL,60618,47,w_47_p_45,19,Retail Food Establishment,"(41.96155579127668, -87.67986227331792)",1.701255708,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,34.01782072,15.07437364,22.04582481,89.83235652,1,1
El Gran Burrito Express,1279370,1979829,Restaurant,Risk 1 (High),23/01/2013,Canvass,0,0.673972603,16/08/2012,15/08/2014,1207 S PULASKI RD 1ST FLOOR,CHICAGO,IL,60623,24,w_24_p_28,10,Retail Food Establishment,"(41.86590627319761, -87.72500866513681)",3.400114155,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,26.27957103,21.7801171,68.67535173,38.56805826,0,0
CAPTAIN HOOKS OF DAN RYAN,1072487,2192934,Restaurant,Risk 2 (Medium),13/08/2013,Canvass,0,0.808219178,23/10/2012,15/11/2014,205 W 87TH ST 1ST 205-A,CHICAGO,IL,60620,21,w_21_p_53,6,Retail Food Establishment,"(41.73603017519755, -87.6290945085756)",0.805479452,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,10.60907099,4.984997633,6.437610054,0.310008392,1,1
MR. GYROS INC,1139012,1619550,Restaurant,Risk 1 (High),20/06/2013,Canvass,0,1.512328767,16/02/2012,15/02/2014,107 W DIVISION ST,CHICAGO,IL,60610,42,w_42_p_26,18,Retail Food Establishment,"(41.90378484203853, -87.63179996351542)",6.345091324,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,42.04438758,30.9308753,12.98935947,35.60104234,1,0
LOVELY: A BAKE SHOP,634941,1823207,Restaurant,Risk 2 (Medium),13/10/2011,Canvass,0,2,16/11/2010,15/11/2012,1130 N MILWAUKEE AVE 1,CHICAGO,IL,60642,1,w_1_p_2,12,Retail Food Establishment,"(41.902193107896, -87.66489390402961)",4.315068493,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,22.00658675,41.04204844,16.23231005,32.64518325,0,0
P.F. CHANG CHINA BISTRO,569630,80266,Restaurant,Risk 1 (High),14/10/2011,Canvass,0,1.112328767,16/03/2011,15/03/2013,530 N WABASH AVE  LEG. DPT,CHICAGO,IL,60611,42,w_42_p_22,18,Retail Food Establishment,"(41.891724723864655, -87.62686659874761)",4.416438356,1,0,0,0,0,0,0,0,0,0,1,1,1,asian,5.191520695,12.17151983,0.162038891,11.66049196,1,1
THAI AREE HOUSE,1335966,37881,Restaurant,Risk 1 (High),07/06/2013,Canvass,0,0.005479452,16/08/2011,15/08/2013,3592 N MILWAUKEE AVE 1ST,CHICAGO,IL,60641,30,w_30_p_13,17,Retail Food Establishment,"(41.94602897693361, -87.73546639404336)",5.81369863,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,9.180256071,6.467214182,9.974830425,31.54362573,0,0
DUNKIN DONUTS,666219,1842575,Restaurant,Risk 2 (Medium),10/11/2011,Canvass,0,1.04109589,16/04/2010,15/04/2012,27 E LAKE ST 1ST FLOOR 1,CHICAGO,IL,60601,42,w_42_p_9,1,Retail Food Establishment,"(41.88564258759103, -87.62693002456231)",4.285045662,0,0,0,0,0,0,0,0,0,0,5,5,5,breakfast,12.13391598,39.87965271,0.0001463,0.924812956,0,0
TACO BELL #5751,1088208,56984,Restaurant,Risk 1 (High),22/06/2012,Canvass,0,0.64109589,16/04/2011,15/04/2013,7856 S STONY ISLAND AVE  1ST,CHICAGO,IL,60649,5,w_5_p_12,4,Retail Food Establishment,"(41.751845307751985, -87.58614823541802)",4.854794521,0,0,0,0,0,0,0,0,0,0,1,1,1,spanish,41.41935521,15.65465065,18.95246207,8.780060718,0,0
THE WHISKEY BAR & GRILL,569741,65265,Restaurant,Risk 1 (High),07/12/2011,Canvass,0,0.35890411,16/03/2011,15/03/2013,21 E BELLEVUE PL # 1ST,CHICAGO,IL,60611,42,w_42_p_24,18,Retail Food Establishment,"(41.90146137010766, -87.62751461949168)",4.564497717,1,0,0,0,0,1,0,0,0,0,1,1,1,bar,24.62552965,18.01946842,10.02937006,48.96944478,1,0
CAFE RESTAURANT ART,1099039,1144116,Restaurant,Risk 1 (High),18/06/2013,Canvass,0,0.515068493,16/09/2011,15/09/2013,4658 N ROCKWELL ST 1,CHICAGO,IL,60625,47,w_47_p_15,19,Retail Food Establishment,"(41.966571693001114, -87.69389349093929)",5.591666667,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,13.47906406,18.89813484,19.99982064,37.40654928,1,0
CAFETERIA MARIANAO,1234402,1045614,Restaurant,Risk 1 (High),01/08/2012,Canvass,0,0.701369863,16/11/2011,15/11/2013,2246 N MILWAUKEE AVE GROUND,CHICAGO,IL,60647,1,w_1_p_13,14,Retail Food Establishment,"(41.92161436223205, -87.6954814291355)",5.712214612,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,24.00830072,26.3410207,35.01272656,104.1355114,1,1
